# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesReclaimed,1760626500661000000,1760626560655000000,0
FilePageCache.pageLoads,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesRequested,1760626500661000000,1760626560655000000,0
MappedFileStorage.totalBytesMapped,1760626500661000000,1760626560655000000,164626432
FilePageCacheLockFree.housekeeperTimeSpentMs,1760626500661000000,1760626560655000000,0
MappedFileStorage.storages,1760626500661000000,1760626560655000000,6
FilePageCache.pageHits,1760626500661000000,1760626560655000000,0
StorageLockContext.competingThreads.90P,1760626500661000000,1760626560655000000,0
FilePageCache.totalPageLoadsUs,1760626500661000000,1760626560655000000,0
FilePageCache.capacityInBytes,1760626500661000000,1760626560655000000,503316478
DirectByteBufferAllocator.reclaimed,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalPagesWriteMs,1760626500661000000,1760626560655000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1760626500661000000,1760626560655000000,199245824
StreamlinedBlobStorage.recordsDeleted,1760626500661000000,1760626560655000000,0
StorageLockContext.competingThreads.avg,1760626500661000000,1760626560655000000,0.0
FilePageCacheLockFree.heapBytesInUse,1760626500661000000,1760626560655000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1760626500661000000,1760626560655000000,0
cacheStateStorage.get.counter,1760626500661000000,1760626560655000000,1
cacheStateStorage.get.duration,1760626500661000000,1760626560655000000,0
cacheStateStorage.set.duration,1760626500661000000,1760626560655000000,0
cacheStateStorage.set.counter,1760626500661000000,1760626560655000000,1
FlushQueue.waitingTime90PNs,1760626500661000000,1760626560655000000,937983
AWTEventQueue.eventsDispatched,1760626500661000000,1760626560655000000,295
AWTEventQueue.dispatchTimeTotalNS,1760626500661000000,1760626560655000000,143171539
FlushQueue.queueSizeMax,1760626500661000000,1760626560655000000,3
FlushQueue.queueSizeAvg,1760626500661000000,1760626560655000000,0.07792207792207792
FlushQueue.queueSize90P,1760626500661000000,1760626560655000000,0
ReadAction.executionsCount,1760626500661000000,1760626560655000000,90
FlushQueue.executionTimeMaxNs,1760626500661000000,1760626560655000000,1974271
FlushQueue.executionTime90PNs,1760626500661000000,1760626560655000000,252927
FlushQueue.waitingTimeAvgNs,1760626500661000000,1760626560655000000,1209284.3636363635
FlushQueue.tasksExecuted,1760626500661000000,1760626560655000000,77
AWTEventQueue.dispatchTimeMaxNs,1760626500661000000,1760626560655000000,30408703
AWTEventQueue.dispatchTime90PNs,1760626500661000000,1760626560655000000,522239
AWTEventQueue.dispatchTimeAvgNs,1760626500661000000,1760626560655000000,484310.1288135593
FlushQueue.executionTimeAvgNs,1760626500661000000,1760626560655000000,168612.05194805196
WriteAction.executionsCount,1760626500661000000,1760626560655000000,0
FlushQueue.waitingTimeMaxNs,1760626500661000000,1760626560655000000,20316159
jps.library.entities.serializer.save.entities.ms,1760626560655000000,1760626620658000000,0
jps.library.entities.serializer.load.entities.ms,1760626560655000000,1760626620658000000,0
workspaceModel.load.cache.from.file.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1760626560655000000,1760626620658000000,0
jps.global.initialize.library.bridges.after.loading.ms,1760626560655000000,1760626620658000000,0
jps.app.storage.content.writer.save.component.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1760626560655000000,1760626620658000000,0
jps.global.handle.before.change.events.ms,1760626560655000000,1760626620658000000,0
jps.global.initialize.library.bridges.ms,1760626560655000000,1760626620658000000,0
workspaceModel.global.updates.count,1760626560655000000,1760626620658000000,0
workspaceModel.global.apply.state.to.project.ms,1760626560655000000,1760626620658000000,0
jps.global.get.library.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1760626560655000000,1760626620658000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1760626560655000000,1760626620658000000,0
jps.global.get.library.by.name.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1760626560655000000,1760626620658000000,0
workspaceModel.global.updates.ms,1760626560655000000,1760626620658000000,0
jps.save.global.entities.ms,1760626560655000000,1760626620658000000,2
workspaceModel.save.cache.to.file.ms,1760626560655000000,1760626620658000000,0
jps.app.storage.content.reader.load.component.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.entities.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1760626560655000000,1760626620658000000,0
jps.global.get.libraries.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1760626560655000000,1760626620658000000,0
jps.global.handle.changed.events.ms,1760626560655000000,1760626620658000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1760626560655000000,1760626620658000000,0
workspaceModel.load.cache.metadata.from.file.ms,1760626560655000000,1760626620658000000,0
